nama_kabupaten_kota,besaran_upah_minimum,satuan,tahun
KABUPATEN BOGOR,"3204551,0",RUPIAH,2017
KABUPATEN SUKABUMI,"2376558,39",RUPIAH,2017
KABUPATEN CIANJUR,"1989115,0",RUPIAH,2017
KABUPATEN BANDUNG,"2463461,49",RUPIAH,2017
KABUPATEN GARUT,"1538909,0",RUPIAH,2017
KABUPATEN TASIKMALAYA,"1767029,7",RUPIAH,2017
KABUPATEN CIAMIS,"1475792,82",RUPIAH,2017
KABUPATEN KUNINGAN,"1477352,7",RUPIAH,2017
KABUPATEN CIREBON,"1723578,15",RUPIAH,2017
KABUPATEN MAJALENGKA,"1525632,0",RUPIAH,2017
KABUPATEN SUMEDANG,"2463461,49",RUPIAH,2017
KABUPATEN INDRAMAYU,"1803239,33",RUPIAH,2017
KABUPATEN SUBANG,"2327072,0",RUPIAH,2017
KABUPATEN PURWAKARTA,"3169549,17",RUPIAH,2017
KABUPATEN KARAWANG,"3605272,0",RUPIAH,2017
KABUPATEN BEKASI,"3530438,44",RUPIAH,2017
KABUPATEN BANDUNG BARAT,"2468289,44",RUPIAH,2017
KABUPATEN PANGANDARAN,"1433901,15",RUPIAH,2017
KOTA BOGOR,"3272143,0",RUPIAH,2017
KOTA SUKABUMI,"1985494,0",RUPIAH,2017
KOTA BANDUNG,"2843662,55",RUPIAH,2017
KOTA CIREBON,"1741682,96",RUPIAH,2017
KOTA BEKASI,"3601650,0",RUPIAH,2017
KOTA DEPOK,"3297489,0",RUPIAH,2017
KOTA CIMAHI,"2463461,0",RUPIAH,2017
KOTA TASIKMALAYA,"1776686,0",RUPIAH,2017
KOTA BANJAR,"1437522,11",RUPIAH,2017
KABUPATEN BOGOR,"3483667,39",RUPIAH,2018
KABUPATEN SUKABUMI,"2583556,63",RUPIAH,2018
KABUPATEN CIANJUR,"2162366,91",RUPIAH,2018
KABUPATEN BANDUNG,"2678028,98",RUPIAH,2018
KABUPATEN GARUT,"1672947,97",RUPIAH,2018
KABUPATEN TASIKMALAYA,"1920937,99",RUPIAH,2018
KABUPATEN CIAMIS,"1604334,37",RUPIAH,2018
KABUPATEN KUNINGAN,"1606030,12",RUPIAH,2018
KABUPATEN CIREBON,"1873701,81",RUPIAH,2018
KABUPATEN MAJALENGKA,"1658514,54",RUPIAH,2018
KABUPATEN SUMEDANG,"2678028,99",RUPIAH,2018
KABUPATEN INDRAMAYU,"1960301,47",RUPIAH,2018
KABUPATEN SUBANG,"2529759,97",RUPIAH,2018
KABUPATEN PURWAKARTA,"3445616,9",RUPIAH,2018
