nama_kabupaten_kota,2019,2020,2021,2022,2023
KABUPATEN BOGOR,"70,65","70,4","70,6","71,2","71,78"
KABUPATEN SUKABUMI,"66,87","66,88","67,07","67,64","68,49"
KABUPATEN CIANJUR,"65,38","65,36","65,56","65,94","66,55"
KABUPATEN BANDUNG,"72,41","72,39","72,73","73,16","73,74"
KABUPATEN GARUT,"66,22","66,12","66,45","67,41","68,11"
KABUPATEN TASIKMALAYA,"65,64","65,67","65,9","66,84","67,76"
KABUPATEN CIAMIS,"70,39","70,49","70,93","71,45","72,05"
KABUPATEN KUNINGAN,"69,12","69,38","69,71","70,16","70,72"
KABUPATEN CIREBON,"68,69","68,75","69,12","70,06","70,95"
KABUPATEN MAJALENGKA,"67,52","67,59","67,81","68,56","69,13"
KABUPATEN SUMEDANG,"71,46","71,64","71,8","72,69","73,18"
KABUPATEN INDRAMAYU,"66,97","67,29","67,64","68,55","69,25"
KABUPATEN SUBANG,"68,69","68,95","69,13","69,87","70,7"
KABUPATEN PURWAKARTA,"70,67","70,82","70,98","71,56","72,09"
KABUPATEN KARAWANG,"70,86","70,66","70,94","71,74","72,35"
KABUPATEN BEKASI,"73,99","74,07","74,45","75,22","75,76"
KABUPATEN BANDUNG BARAT,"68,27","68,08","68,29","69,04","69,61"
KABUPATEN PANGANDARAN,"68,21","68,06","68,28","69,03","69,38"
KOTA BOGOR,"76,23","76,11","76,59","77,17","77,85"
KOTA SUKABUMI,"74,31","74,21","74,6","75,4","76,32"
KOTA BANDUNG,"81,62","81,51","81,96","82,5","83,04"
KOTA CIREBON,"74,92","74,89","75,25","75,89","76,46"
KOTA BEKASI,"81,59","81,5","81,95","82,46","83,03"
KOTA DEPOK,"80,82","80,97","81,37","81,86","82,38"
KOTA CIMAHI,"78,11","77,83","78,06","78,77","79,46"
KOTA TASIKMALAYA,"72,84","73,04","73,31","73,83","74,47"
KOTA BANJAR,"71,75","71,7","71,92","72,55","73,08"
