nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
KABUPATEN BOGOR,1852165,ORANG,2011
KABUPATEN SUKABUMI,925205,ORANG,2011
KABUPATEN CIANJUR,863044,ORANG,2011
KABUPATEN BANDUNG,1248267,ORANG,2011
KABUPATEN GARUT,904607,ORANG,2011
KABUPATEN TASIKMALAYA,677453,ORANG,2011
KABUPATEN CIAMIS,648480,ORANG,2011
KABUPATEN KUNINGAN,425718,ORANG,2011
KABUPATEN CIREBON,828506,ORANG,2011
KABUPATEN MAJALENGKA,489817,ORANG,2011
KABUPATEN SUMEDANG,457222,ORANG,2011
KABUPATEN INDRAMAYU,702670,ORANG,2011
KABUPATEN SUBANG,623501,ORANG,2011
KABUPATEN PURWAKARTA,340411,ORANG,2011
KABUPATEN KARAWANG,880087,ORANG,2011
KABUPATEN BEKASI,1074899,ORANG,2011
KABUPATEN BANDUNG BARAT,597633,ORANG,2011
KOTA BOGOR,391221,ORANG,2011
KOTA SUKABUMI,119803,ORANG,2011
KOTA BANDUNG,1012946,ORANG,2011
KOTA CIREBON,120967,ORANG,2011
KOTA BEKASI,990630,ORANG,2011
KOTA DEPOK,728675,ORANG,2011
KOTA CIMAHI,225801,ORANG,2011
KOTA TASIKMALAYA,253713,ORANG,2011
KOTA BANJAR,71340,ORANG,2011
KABUPATEN BOGOR,1995032,ORANG,2012
KABUPATEN SUKABUMI,958955,ORANG,2012
KABUPATEN CIANJUR,899502,ORANG,2012
KABUPATEN BANDUNG,1323166,ORANG,2012
KABUPATEN GARUT,936552,ORANG,2012
KABUPATEN TASIKMALAYA,811323,ORANG,2012
KABUPATEN CIAMIS,748629,ORANG,2012
KABUPATEN KUNINGAN,453382,ORANG,2012
KABUPATEN CIREBON,762065,ORANG,2012
KABUPATEN MAJALENGKA,557086,ORANG,2012
KABUPATEN SUMEDANG,487639,ORANG,2012
KABUPATEN INDRAMAYU,732279,ORANG,2012
KABUPATEN SUBANG,693303,ORANG,2012
KABUPATEN PURWAKARTA,375959,ORANG,2012
KABUPATEN KARAWANG,917556,ORANG,2012
KABUPATEN BEKASI,1107002,ORANG,2012
KABUPATEN BANDUNG BARAT,583954,ORANG,2012
KOTA BOGOR,383111,ORANG,2012
KOTA SUKABUMI,109249,ORANG,2012
KOTA BANDUNG,1064167,ORANG,2012
KOTA CIREBON,116605,ORANG,2012
KOTA BEKASI,977043,ORANG,2012
KOTA DEPOK,750820,ORANG,2012
KOTA CIMAHI,225763,ORANG,2012
KOTA TASIKMALAYA,274314,ORANG,2012
KOTA BANJAR,76652,ORANG,2012
KABUPATEN BOGOR,2131478,ORANG,2013
KABUPATEN SUKABUMI,944618,ORANG,2013
KABUPATEN CIANJUR,880713,ORANG,2013
KABUPATEN BANDUNG,1407503,ORANG,2013
KABUPATEN GARUT,922194,ORANG,2013
KABUPATEN TASIKMALAYA,786927,ORANG,2013
KABUPATEN CIAMIS,723640,ORANG,2013
KABUPATEN KUNINGAN,444359,ORANG,2013
KABUPATEN CIREBON,763934,ORANG,2013
KABUPATEN MAJALENGKA,550134,ORANG,2013
KABUPATEN SUMEDANG,483648,ORANG,2013
KABUPATEN INDRAMAYU,717696,ORANG,2013
KABUPATEN SUBANG,656787,ORANG,2013
KABUPATEN PURWAKARTA,360398,ORANG,2013
KABUPATEN KARAWANG,888592,ORANG,2013
KABUPATEN BEKASI,1268648,ORANG,2013
KABUPATEN BANDUNG BARAT,599870,ORANG,2013
KOTA BOGOR,403628,ORANG,2013
KOTA SUKABUMI,118252,ORANG,2013
KOTA BANDUNG,0,ORANG,2013
KOTA CIREBON,129208,ORANG,2013
KOTA BEKASI,1063637,ORANG,2013
KOTA DEPOK,836688,ORANG,2013
KOTA CIMAHI,231379,ORANG,2013
KOTA TASIKMALAYA,289166,ORANG,2013
KOTA BANJAR,73424,ORANG,2013
KABUPATEN BOGOR,2137954,ORANG,2014
KABUPATEN SUKABUMI,1004798,ORANG,2014
KABUPATEN CIANJUR,878215,ORANG,2014
KABUPATEN BANDUNG,1490031,ORANG,2014
KABUPATEN GARUT,943727,ORANG,2014
KABUPATEN TASIKMALAYA,787281,ORANG,2014
KABUPATEN CIAMIS,729286,ORANG,2014
KABUPATEN KUNINGAN,434948,ORANG,2014
KABUPATEN CIREBON,792245,ORANG,2014
KABUPATEN MAJALENGKA,600843,ORANG,2014
KABUPATEN SUMEDANG,515735,ORANG,2014
KABUPATEN INDRAMAYU,705180,ORANG,2014
KABUPATEN SUBANG,680739,ORANG,2014
KABUPATEN PURWAKARTA,375455,ORANG,2014
KABUPATEN KARAWANG,912864,ORANG,2014
KABUPATEN BEKASI,1295522,ORANG,2014
KABUPATEN BANDUNG BARAT,585465,ORANG,2014
KOTA BOGOR,415162,ORANG,2014
KOTA SUKABUMI,122046,ORANG,2014
KOTA BANDUNG,1096799,ORANG,2014
KOTA CIREBON,130927,ORANG,2014
KOTA BEKASI,1120471,ORANG,2014
KOTA DEPOK,877684,ORANG,2014
KOTA CIMAHI,244278,ORANG,2014
KOTA TASIKMALAYA,274001,ORANG,2014
KOTA BANJAR,79287,ORANG,2014
KABUPATEN BOGOR,2083234,ORANG,2015
KABUPATEN SUKABUMI,912272,ORANG,2015
KABUPATEN CIANJUR,863592,ORANG,2015
KABUPATEN BANDUNG,1438365,ORANG,2015
KABUPATEN GARUT,945768,ORANG,2015
KABUPATEN TASIKMALAYA,724664,ORANG,2015
KABUPATEN CIAMIS,494078,ORANG,2015
KABUPATEN KUNINGAN,435712,ORANG,2015
KABUPATEN CIREBON,813824,ORANG,2015
KABUPATEN MAJALENGKA,580729,ORANG,2015
KABUPATEN SUMEDANG,481029,ORANG,2015
KABUPATEN INDRAMAYU,677201,ORANG,2015
KABUPATEN SUBANG,633116,ORANG,2015
KABUPATEN PURWAKARTA,371543,ORANG,2015
KABUPATEN KARAWANG,873995,ORANG,2015
KABUPATEN BEKASI,1344821,ORANG,2015
KABUPATEN BANDUNG BARAT,563252,ORANG,2015
KABUPATEN PANGANDARAN,192391,ORANG,2015
KOTA BOGOR,400983,ORANG,2015
KOTA SUKABUMI,133746,ORANG,2015
KOTA BANDUNG,1084989,ORANG,2015
KOTA CIREBON,126821,ORANG,2015
KOTA BEKASI,1081936,ORANG,2015
KOTA DEPOK,896981,ORANG,2015
KOTA CIMAHI,257105,ORANG,2015
KOTA TASIKMALAYA,301406,ORANG,2015
KOTA BANJAR,77929,ORANG,2015
KABUPATEN BOGOR,2351753,ORANG,2017
