nama_kabupaten_kota,jumlah_pengeluaran_per_kapita,satuan,tahun
KABUPATEN BOGOR,"8951,96",RIBU RUPIAH,2010
KABUPATEN SUKABUMI,"7658,57",RIBU RUPIAH,2010
KABUPATEN CIANJUR,"6430,92",RIBU RUPIAH,2010
KABUPATEN BANDUNG,"8740,07",RIBU RUPIAH,2010
KABUPATEN GARUT,"6149,57",RIBU RUPIAH,2010
KABUPATEN TASIKMALAYA,"6620,25",RIBU RUPIAH,2010
KABUPATEN CIAMIS,"7887,57",RIBU RUPIAH,2010
KABUPATEN KUNINGAN,"8205,41",RIBU RUPIAH,2010
KABUPATEN CIREBON,"8866,25",RIBU RUPIAH,2010
KABUPATEN MAJALENGKA,"7918,34",RIBU RUPIAH,2010
KABUPATEN SUMEDANG,"8598,41",RIBU RUPIAH,2010
KABUPATEN INDRAMAYU,"8298,87",RIBU RUPIAH,2010
KABUPATEN SUBANG,"8973,49",RIBU RUPIAH,2010
KABUPATEN PURWAKARTA,"9684,48",RIBU RUPIAH,2010
KABUPATEN KARAWANG,"9441,37",RIBU RUPIAH,2010
KABUPATEN BEKASI,"9880,93",RIBU RUPIAH,2010
KABUPATEN BANDUNG BARAT,"6702,17",RIBU RUPIAH,2010
KOTA BOGOR,"10147,93",RIBU RUPIAH,2010
KOTA SUKABUMI,"9294,11",RIBU RUPIAH,2010
KOTA BANDUNG,"14628,63",RIBU RUPIAH,2010
KOTA CIREBON,"10285,09",RIBU RUPIAH,2010
KOTA BEKASI,"14163,91",RIBU RUPIAH,2010
KOTA DEPOK,"13747,59",RIBU RUPIAH,2010
KOTA CIMAHI,"10363,93",RIBU RUPIAH,2010
KOTA TASIKMALAYA,"7827,7",RIBU RUPIAH,2010
KOTA BANJAR,"9051,3",RIBU RUPIAH,2010
KABUPATEN BOGOR,"8960,07",RIBU RUPIAH,2011
KABUPATEN SUKABUMI,"7683,98",RIBU RUPIAH,2011
KABUPATEN CIANJUR,"6495,68",RIBU RUPIAH,2011
KABUPATEN BANDUNG,"8797,01",RIBU RUPIAH,2011
KABUPATEN GARUT,"6195,46",RIBU RUPIAH,2011
KABUPATEN TASIKMALAYA,"6663,99",RIBU RUPIAH,2011
KABUPATEN CIAMIS,"7951,48",RIBU RUPIAH,2011
KABUPATEN KUNINGAN,"8231,37",RIBU RUPIAH,2011
KABUPATEN CIREBON,"8889,96",RIBU RUPIAH,2011
KABUPATEN MAJALENGKA,"7987,42",RIBU RUPIAH,2011
KABUPATEN SUMEDANG,"8652,78",RIBU RUPIAH,2011
KABUPATEN INDRAMAYU,"8355,61",RIBU RUPIAH,2011
KABUPATEN SUBANG,"9048,46",RIBU RUPIAH,2011
KABUPATEN PURWAKARTA,"10110,61",RIBU RUPIAH,2011
KABUPATEN KARAWANG,"9524,89",RIBU RUPIAH,2011
KABUPATEN BEKASI,"9945,54",RIBU RUPIAH,2011
KABUPATEN BANDUNG BARAT,"6788,49",RIBU RUPIAH,2011
KOTA BOGOR,"10265,35",RIBU RUPIAH,2011
KOTA SUKABUMI,"9411,19",RIBU RUPIAH,2011
KOTA BANDUNG,"14699,89",RIBU RUPIAH,2011
KOTA CIREBON,"10331,61",RIBU RUPIAH,2011
KOTA BEKASI,"14186,71",RIBU RUPIAH,2011
KOTA DEPOK,"13839,01",RIBU RUPIAH,2011
KOTA CIMAHI,"10428,29",RIBU RUPIAH,2011
KOTA TASIKMALAYA,"7908,85",RIBU RUPIAH,2011
KOTA BANJAR,"9120,7",RIBU RUPIAH,2011
KABUPATEN BOGOR,"9000,3",RIBU RUPIAH,2012
KABUPATEN SUKABUMI,"7700,49",RIBU RUPIAH,2012
KABUPATEN CIANJUR,"6552,73",RIBU RUPIAH,2012
KABUPATEN BANDUNG,"8845,58",RIBU RUPIAH,2012
KABUPATEN GARUT,"6233,12",RIBU RUPIAH,2012
KABUPATEN TASIKMALAYA,"6699,36",RIBU RUPIAH,2012
KABUPATEN CIAMIS,"8007,33",RIBU RUPIAH,2012
KABUPATEN KUNINGAN,"8248,4",RIBU RUPIAH,2012
KABUPATEN CIREBON,"8904,64",RIBU RUPIAH,2012
KABUPATEN MAJALENGKA,"8048,58",RIBU RUPIAH,2012
KABUPATEN SUMEDANG,"8698,75",RIBU RUPIAH,2012
KABUPATEN INDRAMAYU,"8404,05",RIBU RUPIAH,2012
KABUPATEN SUBANG,"9115,48",RIBU RUPIAH,2012
KABUPATEN PURWAKARTA,"10332,65",RIBU RUPIAH,2012
KABUPATEN KARAWANG,"9671,03",RIBU RUPIAH,2012
KABUPATEN BEKASI,"10040,09",RIBU RUPIAH,2012
KABUPATEN BANDUNG BARAT,"6975,56",RIBU RUPIAH,2012
KOTA BOGOR,"10439,59",RIBU RUPIAH,2012
KOTA SUKABUMI,"9466,86",RIBU RUPIAH,2012
KOTA BANDUNG,"14762,53",RIBU RUPIAH,2012
KOTA CIREBON,"10369,39",RIBU RUPIAH,2012
KOTA BEKASI,"14342,49",RIBU RUPIAH,2012
KOTA DEPOK,"14079,53",RIBU RUPIAH,2012
KOTA CIMAHI,"10473,53",RIBU RUPIAH,2012
KOTA TASIKMALAYA,"8013,43",RIBU RUPIAH,2012
KOTA BANJAR,"9219,22",RIBU RUPIAH,2012
KABUPATEN BOGOR,"9040,52",RIBU RUPIAH,2013
KABUPATEN SUKABUMI,"7800,04",RIBU RUPIAH,2013
KABUPATEN CIANJUR,"6694,05",RIBU RUPIAH,2013
KABUPATEN BANDUNG,"8977,74",RIBU RUPIAH,2013
KABUPATEN GARUT,"6354,52",RIBU RUPIAH,2013
KABUPATEN TASIKMALAYA,"6818,31",RIBU RUPIAH,2013
KABUPATEN CIAMIS,"8147,07",RIBU RUPIAH,2013
KABUPATEN KUNINGAN,"8348,43",RIBU RUPIAH,2013
KABUPATEN CIREBON,"9002,26",RIBU RUPIAH,2013
KABUPATEN MAJALENGKA,"8193,77",RIBU RUPIAH,2013
KABUPATEN SUMEDANG,"8828,26",RIBU RUPIAH,2013
KABUPATEN INDRAMAYU,"8644,13",RIBU RUPIAH,2013
KABUPATEN SUBANG,"9266,49",RIBU RUPIAH,2013
KABUPATEN PURWAKARTA,"10492,35",RIBU RUPIAH,2013
KABUPATEN KARAWANG,"9755,43",RIBU RUPIAH,2013
KABUPATEN BEKASI,"10207,28",RIBU RUPIAH,2013
KABUPATEN BANDUNG BARAT,"7112,25",RIBU RUPIAH,2013
KABUPATEN PANGANDARAN,"8199,66",RIBU RUPIAH,2013
KOTA BOGOR,"10488,49",RIBU RUPIAH,2013
KOTA SUKABUMI,"9608,86",RIBU RUPIAH,2013
KOTA BANDUNG,"14957,1",RIBU RUPIAH,2013
KOTA CIREBON,"10563,12",RIBU RUPIAH,2013
