nama_kabupaten_kota,2019,2020,2021,2022,2023
KABUPATEN BOGOR,"26708,98","28476,15","29100,14","30229,82","31399,13"
KABUPATEN SUKABUMI,"18650,53","17010,22","17447,35","18156,06","18910,19"
KABUPATEN CIANJUR,"13900,21","12868,84","13155,65","13659,66","14205,45"
KABUPATEN BANDUNG,"22321,33","22432,67","22984,73","23984,79","24946,9"
KABUPATEN GARUT,"14938,92","14949,07","15297,78","15860,22","16427,99"
KABUPATEN TASIKMALAYA,"13788,93","13081,44","13415,54","13931,64","14472,21"
KABUPATEN CIAMIS,"18329,1","17898,4","18443,83","19237,92","20064,58"
KABUPATEN KUNINGAN,"15559,64","14495,41","14867,64","15517,39","16158,52"
KABUPATEN CIREBON,"15421,18","14695,5","14829,47","15237,34","15779,49"
KABUPATEN MAJALENGKA,"17758,53","16703,74","17329,14","18296,7","19239,83"
KABUPATEN SUMEDANG,"20489,58",20552,21021,"21897,76","22811,12"
KABUPATEN INDRAMAYU,"34628,83","32336,48","32156,29","32699,62","35494,27"
KABUPATEN SUBANG,"18263,88","17797,41","17869,34","18466,24","19156,61"
KABUPATEN PURWAKARTA,"48923,61","45548,77","46425,52","48176,44","49891,14"
KABUPATEN KARAWANG,"70240,34","64852,19","67708,98","71096,68","74050,47"
KABUPATEN BEKASI,"68158,23","78344,76","79961,7",83010,"86249,21"
KABUPATEN BANDUNG BARAT,"18772,95","17198,38","17530,14","18205,66","18854,33"
KABUPATEN PANGANDARAN,"19307,16","18303,83","18851,09","19660,48","20557,59"
KOTA BOGOR,"29643,12","30893,25","31755,49","33233,77","34607,92"
KOTA SUKABUMI,"26526,86","24724,05","25277,6","26234,44","27178,83"
KOTA BANDUNG,"77544,78","79032,39","81422,38","85039,48","88553,76"
KOTA CIREBON,"53244,69","50074,03","51088,12","53195,69","55366,98"
KOTA BEKASI,"23579,62","26628,89","27179,26","28198,09","29400,72"
KOTA DEPOK,"20801,81","23496,62","24000,07","24869,67","25739,64"
KOTA CIMAHI,"38001,57","39336,48","40518,16","42311,68","43894,33"
KOTA TASIKMALAYA,"23319,99","21600,66","22100,49","22909,76","23972,61"
KOTA BANJAR,"17290,78","16228,61","16632,87","17140,51","17729,65"
