nama_kabupaten_kota,2019,2020,2021,2022,2023
KABUPATEN BOGOR,"6,66","7,69","8,13","7,73","7,27"
KABUPATEN SUKABUMI,"6,22","7,09","7,7","7,34","7,01"
KABUPATEN CIANJUR,"9,15","10,36","11,18","10,55","10,22"
KABUPATEN BANDUNG,"5,94","6,91","7,15","6,8","6,4"
KABUPATEN GARUT,"8,98","9,98","10,65","10,42","9,77"
KABUPATEN TASIKMALAYA,"9,12","10,34","11,15","10,73","10,28"
KABUPATEN CIAMIS,"6,65","7,62","7,97","7,72","7,42"
KABUPATEN KUNINGAN,"11,41","12,82","13,1","12,76","12,12"
KABUPATEN CIREBON,"9,94","11,24","12,3","12,01","11,2"
KABUPATEN MAJALENGKA,"10,06","11,43","12,33","11,94","11,21"
KABUPATEN SUMEDANG,"9,05","10,26","10,71","10,14","9,36"
KABUPATEN INDRAMAYU,"11,11","12,7","13,04","12,77","12,13"
KABUPATEN SUBANG,"8,12","9,31","10,03","9,75","9,52"
KABUPATEN PURWAKARTA,"7,48","8,27","8,83","8,7","8,46"
KABUPATEN KARAWANG,"7,39","8,26","8,95","8,44","7,87"
KABUPATEN BEKASI,"4,01","4,82","5,21","5,01","4,93"
KABUPATEN BANDUNG BARAT,"9,38","10,49","11,3","10,82","10,52"
KABUPATEN PANGANDARAN,"7,71","8,99","9,65","9,32","8,98"
KOTA BOGOR,"5,77","6,68","7,24","7,1","6,67"
KOTA SUKABUMI,"6,67","7,7","8,25","8,02","7,5"
KOTA BANDUNG,"3,38","3,99","4,37","4,25","3,96"
KOTA CIREBON,"8,41","9,52","10,03","9,82","9,16"
KOTA BEKASI,"3,81","4,38","4,74","4,43","4,1"
KOTA DEPOK,"2,07","2,45","2,58","2,53","2,38"
KOTA CIMAHI,"4,39","5,11","5,35","5,11","4,66"
KOTA TASIKMALAYA,"11,6","12,97","13,13","12,72","11,53"
KOTA BANJAR,"5,5","6,09","7,11","6,73","6,14"
