nama_kabupaten_kota,2019,2020,2021,2022,2023
KABUPATEN BOGOR,"9,11","14,29","12,22","10,64","8,47"
KABUPATEN SUKABUMI,"8,05","9,6","9,51","7,77","7,32"
KABUPATEN CIANJUR,"9,81","11,05","9,32","8,41","7,71"
KABUPATEN BANDUNG,"5,51","8,58","8,32","6,98","6,52"
KABUPATEN GARUT,"7,35","8,95","8,68","7,6","7,33"
KABUPATEN TASIKMALAYA,"6,31","7,12","6,16","4,17","3,89"
KABUPATEN CIAMIS,"5,16","5,66","5,06","3,75","3,52"
KABUPATEN KUNINGAN,"9,68","11,22","11,68","9,81","9,49"
KABUPATEN CIREBON,"10,35","11,52","10,38","8,11","7,65"
KABUPATEN MAJALENGKA,"4,37","5,84","5,71","4,16","4,12"
KABUPATEN SUMEDANG,"7,7","9,89","9,18","7,72","6,94"
KABUPATEN INDRAMAYU,"8,35","9,21","8,3","6,49","6,46"
KABUPATEN SUBANG,"8,68","9,48","9,77","7,77","7,65"
KABUPATEN PURWAKARTA,"9,73","11,07","10,7","8,75","7,72"
KABUPATEN KARAWANG,"9,68","11,52","11,83","9,87","8,95"
KABUPATEN BEKASI,9,"11,54","10,09","10,31","8,87"
KABUPATEN BANDUNG BARAT,"8,24","12,25","11,65","9,63","8,11"
KABUPATEN PANGANDARAN,"4,52","5,08","3,25","1,56","1,52"
KOTA BOGOR,"9,16","12,68","11,79","10,78","9,39"
KOTA SUKABUMI,"8,49","12,17","10,78","8,83","8,53"
KOTA BANDUNG,"8,18","11,19","11,46","9,55","8,83"
KOTA CIREBON,"9,04","10,97","10,53","8,42","7,66"
KOTA BEKASI,"8,3","10,68","10,88","8,81","7,9"
KOTA DEPOK,"6,12","9,87","9,76","7,82","6,97"
KOTA CIMAHI,"8,09","13,3","13,07","10,77","10,52"
KOTA TASIKMALAYA,"6,78","7,99","7,66","6,62","6,55"
KOTA BANJAR,"6,16","6,73","6,09","5,53","5,43"
