nama_kabupaten_kota,2019,2020,2021,2022,2023
KABUPATEN BOGOR,"91,02","92,13","91,83","92,28","91,9"
KABUPATEN SUKABUMI,"79,57","79,98","81,34","85,7","85,72"
KABUPATEN CIANJUR,"81,5","82,73","86,25","80,79","85,65"
KABUPATEN BANDUNG,"97,84","95,87","99,07","93,79","95,73"
KABUPATEN GARUT,"84,17","81,86","77,35","78,15","81,13"
KABUPATEN TASIKMALAYA,"76,18","85,17","85,26","89,35","89,03"
KABUPATEN CIAMIS,"82,8","89,4","90,12","93,8","94,39"
KABUPATEN KUNINGAN,"94,26","93,37","94,4","95,51","96,57"
KABUPATEN CIREBON,"95,55","96,12","96,54","94,99","98,52"
KABUPATEN MAJALENGKA,"97,95","97,19","96,8","95,7","93,38"
KABUPATEN SUMEDANG,"89,77","94,96","94,16","95,84","95,42"
KABUPATEN INDRAMAYU,"95,25","98,14","97,95","95,25","97,77"
KABUPATEN SUBANG,"98,33","97,78","98,75","98,01","99,22"
KABUPATEN PURWAKARTA,"82,34","80,37","81,5","92,59","85,4"
KABUPATEN KARAWANG,"95,84","97,62","96,63","98,19","98,11"
KABUPATEN BEKASI,"96,07","98,23","95,02","94,86","96,95"
KABUPATEN BANDUNG BARAT,"92,17","93,26","92,47","86,6","92,27"
KABUPATEN PANGANDARAN,"83,65","90,91","80,78","84,14","82,95"
KOTA BOGOR,"98,75","99,02","98,14","98,73","99,61"
KOTA SUKABUMI,"97,6","96,84","98,37","97,82","98,74"
KOTA BANDUNG,"98,55","98,43","99,51","99,03","97,67"
KOTA CIREBON,"99,79","99,36","99,34","99,05","99,57"
KOTA BEKASI,"99,26","99,74",100,"98,28","98,77"
KOTA DEPOK,"99,01",100,"99,52","99,44","99,56"
KOTA CIMAHI,"98,05","99,04","97,93","97,81","97,36"
KOTA TASIKMALAYA,"95,76","94,17","94,4","96,81","95,84"
KOTA BANJAR,"95,67","98,88","97,21","97,67","94,34"
