nama_kabupaten_kota,2019,2020,2021,2022,2023
KABUPATEN BOGOR,"39,54","35,24","44,03","49,98","44,56"
KABUPATEN SUKABUMI,"29,63","38,16","43,5","42,48","30,51"
KABUPATEN CIANJUR,"29,53","29,73","32,48","36,57","31,5"
KABUPATEN BANDUNG,"52,04","54,25","54,73","52,58","49,48"
KABUPATEN GARUT,"24,71","30,72","26,6","34,24","36,67"
KABUPATEN TASIKMALAYA,"30,27","37,62","35,8","40,54","36,95"
KABUPATEN CIAMIS,"43,5","55,02","52,89","59,03","57,76"
KABUPATEN KUNINGAN,"72,31","75,07","72,13","60,83","74,44"
KABUPATEN CIREBON,"69,42","73,41","75,91","75,37","78,78"
KABUPATEN MAJALENGKA,"71,38","74,34","71,34","72,32","72,19"
KABUPATEN SUMEDANG,"68,31","75,23","70,67","66,75","59,63"
KABUPATEN INDRAMAYU,"70,94","79,86","76,53","74,49","86,35"
KABUPATEN SUBANG,"62,76","72,07","77,31","68,28","80,35"
KABUPATEN PURWAKARTA,"63,35",59,"54,81","66,24","57,57"
KABUPATEN KARAWANG,"62,04","65,3","65,3","70,11","69,96"
KABUPATEN BEKASI,"61,97","61,24","63,85","60,85","65,49"
KABUPATEN BANDUNG BARAT,"42,74","55,74","46,98","35,52","41,14"
KABUPATEN PANGANDARAN,"51,54","62,95","51,98","56,13","54,98"
KOTA BOGOR,"45,75","49,85","55,57","45,75","49,3"
KOTA SUKABUMI,"32,2","28,73","30,33","35,15","34,02"
KOTA BANDUNG,"35,99","37,86","37,49","36,75","41,17"
KOTA CIREBON,"70,82","70,02","71,62","75,3","76,49"
KOTA BEKASI,56,"53,1","52,91","54,36","61,61"
KOTA DEPOK,"46,41","50,14","49,6","47,34","50,79"
KOTA CIMAHI,"51,81","51,93","61,41","53,77","51,42"
KOTA TASIKMALAYA,"40,8","42,78","46,85","45,4","48,82"
KOTA BANJAR,"75,81","75,57","69,72","75,1","75,21"
