nama_kabupaten_kota,jumlah_kawasan,satuan,tahun
KABUPATEN BOGOR,"0,0",LOKASI,2014
KABUPATEN SUKABUMI,"3,0",LOKASI,2014
KABUPATEN CIANJUR,"10,0",LOKASI,2014
KABUPATEN BANDUNG,"0,0",LOKASI,2014
KABUPATEN GARUT,"4,0",LOKASI,2014
KABUPATEN TASIKMALAYA,"0,0",LOKASI,2014
KABUPATEN CIAMIS,"20,0",LOKASI,2014
KABUPATEN KUNINGAN,"1,0",LOKASI,2014
KABUPATEN CIREBON,"0,0",LOKASI,2014
KABUPATEN MAJALENGKA,"12,0",LOKASI,2014
KABUPATEN SUMEDANG,"0,0",LOKASI,2014
KABUPATEN INDRAMAYU,"1,0",LOKASI,2014
KABUPATEN SUBANG,"4,0",LOKASI,2014
KABUPATEN PURWAKARTA,"4,0",LOKASI,2014
KABUPATEN KARAWANG,"3,0",LOKASI,2014
KABUPATEN BEKASI,"7,0",LOKASI,2014
KABUPATEN BANDUNG BARAT,"13,0",LOKASI,2014
KOTA BOGOR,"3,0",LOKASI,2014
KOTA SUKABUMI,"2,0",LOKASI,2014
KOTA BANDUNG,"2,0",LOKASI,2014
KOTA CIREBON,"2,0",LOKASI,2014
KOTA BEKASI,"0,0",LOKASI,2014
KOTA DEPOK,"7,0",LOKASI,2014
KOTA CIMAHI,"0,0",LOKASI,2014
KOTA TASIKMALAYA,"4,0",LOKASI,2014
KOTA BANJAR,"1,0",LOKASI,2014
KABUPATEN BOGOR,"0,0",LOKASI,2015
KABUPATEN SUKABUMI,"0,0",LOKASI,2015
KABUPATEN CIANJUR,"5,0",LOKASI,2015
KABUPATEN BANDUNG,"0,0",LOKASI,2015
KABUPATEN GARUT,"9,0",LOKASI,2015
KABUPATEN TASIKMALAYA,"0,0",LOKASI,2015
KABUPATEN CIAMIS,"6,0",LOKASI,2015
KABUPATEN KUNINGAN,"0,0",LOKASI,2015
KABUPATEN CIREBON,"0,0",LOKASI,2015
KABUPATEN MAJALENGKA,"9,0",LOKASI,2015
KABUPATEN SUMEDANG,"1,0",LOKASI,2015
KABUPATEN INDRAMAYU,"1,0",LOKASI,2015
KABUPATEN SUBANG,"0,0",LOKASI,2015
KABUPATEN PURWAKARTA,"2,0",LOKASI,2015
KABUPATEN KARAWANG,"0,0",LOKASI,2015
KABUPATEN BEKASI,"0,0",LOKASI,2015
KABUPATEN BANDUNG BARAT,"0,0",LOKASI,2015
KABUPATEN PANGANDARAN,"0,0",LOKASI,2015
KOTA BOGOR,"0,0",LOKASI,2015
KOTA SUKABUMI,"0,0",LOKASI,2015
KOTA BANDUNG,"0,0",LOKASI,2015
KOTA CIREBON,"0,0",LOKASI,2015
KOTA BEKASI,"0,0",LOKASI,2015
KOTA DEPOK,"3,0",LOKASI,2015
KOTA CIMAHI,"0,0",LOKASI,2015
KOTA TASIKMALAYA,"8,0",LOKASI,2015
KOTA BANJAR,"0,0",LOKASI,2015
KABUPATEN BOGOR,"0,0",LOKASI,2016
KABUPATEN SUKABUMI,"0,0",LOKASI,2016
KABUPATEN CIANJUR,"5,0",LOKASI,2016
KABUPATEN BANDUNG,"0,0",LOKASI,2016
KABUPATEN GARUT,"33,0",LOKASI,2016
KABUPATEN TASIKMALAYA,"0,0",LOKASI,2016
KABUPATEN CIAMIS,"0,0",LOKASI,2016
KABUPATEN KUNINGAN,"0,0",LOKASI,2016
KABUPATEN CIREBON,"0,0",LOKASI,2016
KABUPATEN MAJALENGKA,"9,0",LOKASI,2016
KABUPATEN SUMEDANG,"1,0",LOKASI,2016
KABUPATEN INDRAMAYU,"1,0",LOKASI,2016
KABUPATEN SUBANG,"0,0",LOKASI,2016
KABUPATEN PURWAKARTA,"2,0",LOKASI,2016
KABUPATEN KARAWANG,"0,0",LOKASI,2016
KABUPATEN BEKASI,"0,0",LOKASI,2016
KABUPATEN BANDUNG BARAT,"0,0",LOKASI,2016
KABUPATEN PANGANDARAN,"0,0",LOKASI,2016
KOTA BOGOR,"22,0",LOKASI,2016
KOTA SUKABUMI,"0,0",LOKASI,2016
KOTA BANDUNG,"0,0",LOKASI,2016
KOTA CIREBON,"2,0",LOKASI,2016
KOTA BEKASI,"0,0",LOKASI,2016
KOTA DEPOK,"3,0",LOKASI,2016
KOTA CIMAHI,"0,0",LOKASI,2016
KOTA TASIKMALAYA,"4,0",LOKASI,2016
KOTA BANJAR,"0,0",LOKASI,2016
KABUPATEN BOGOR,"0,0",LOKASI,2017
KABUPATEN SUKABUMI,"0,0",LOKASI,2017
KABUPATEN CIANJUR,"5,0",LOKASI,2017
KABUPATEN BANDUNG,"0,0",LOKASI,2017
KABUPATEN GARUT,"33,0",LOKASI,2017
KABUPATEN TASIKMALAYA,"0,0",LOKASI,2017
KABUPATEN CIAMIS,"0,0",LOKASI,2017
KABUPATEN KUNINGAN,"0,0",LOKASI,2017
KABUPATEN CIREBON,"0,0",LOKASI,2017
KABUPATEN MAJALENGKA,"9,0",LOKASI,2017
KABUPATEN SUMEDANG,"1,0",LOKASI,2017
KABUPATEN INDRAMAYU,"1,0",LOKASI,2017
KABUPATEN SUBANG,"0,0",LOKASI,2017
KABUPATEN PURWAKARTA,"2,0",LOKASI,2017
KABUPATEN KARAWANG,"1,0",LOKASI,2017
KABUPATEN BEKASI,"0,0",LOKASI,2017
KABUPATEN BANDUNG BARAT,"0,0",LOKASI,2017
KABUPATEN PANGANDARAN,"0,0",LOKASI,2017
KOTA BOGOR,"22,0",LOKASI,2017
KOTA SUKABUMI,"0,0",LOKASI,2017
KOTA BANDUNG,"0,0",LOKASI,2017
KOTA CIREBON,"3,0",LOKASI,2017
KOTA BEKASI,"0,0",LOKASI,2017
KOTA DEPOK,"3,0",LOKASI,2017
KOTA CIMAHI,"0,0",LOKASI,2017
KOTA TASIKMALAYA,"13,0",LOKASI,2017
KOTA BANJAR,"0,0",LOKASI,2017
KABUPATEN BOGOR,"86,0",LOKASI,2018
KABUPATEN SUKABUMI,,LOKASI,2018
KABUPATEN CIANJUR,"82,0",LOKASI,2018
KABUPATEN BANDUNG,"94,0",LOKASI,2018
KABUPATEN GARUT,"204,0",LOKASI,2018
KABUPATEN TASIKMALAYA,"408,0",LOKASI,2018
KABUPATEN CIAMIS,"143,0",LOKASI,2018
KABUPATEN KUNINGAN,"35,0",LOKASI,2018
KABUPATEN CIREBON,"133,0",LOKASI,2018
KABUPATEN MAJALENGKA,"175,0",LOKASI,2018
KABUPATEN SUMEDANG,,LOKASI,2018
KABUPATEN INDRAMAYU,"28,0",LOKASI,2018
KABUPATEN SUBANG,"47,0",LOKASI,2018
