nama_kabupaten_kota,kewenangan_pemerintah,wilayah_uptd,panjang_ruas_jalan,satuan,tahun
KABUPATEN BOGOR,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I,"132,81",KILOMETER,"2017,0"
KABUPATEN SUKABUMI,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II,"313,92",KILOMETER,"2017,0"
KABUPATEN CIANJUR,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I,"186,4",KILOMETER,"2017,0"
KABUPATEN BANDUNG,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III,"127,53",KILOMETER,"2017,0"
KABUPATEN GARUT,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV,"286,03",KILOMETER,"2017,0"
KABUPATEN TASIKMALAYA,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V,"123,65",KILOMETER,"2017,0"
KABUPATEN CIAMIS,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V,"28,63",KILOMETER,"2017,0"
KABUPATEN KUNINGAN,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V,"86,33",KILOMETER,"2017,0"
KABUPATEN CIREBON,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI,"72,37",KILOMETER,"2017,0"
KABUPATEN MAJALENGKA,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI,"125,83",KILOMETER,"2017,0"
KABUPATEN SUMEDANG,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV,"115,8",KILOMETER,"2017,0"
KABUPATEN INDRAMAYU,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI,"157,49",KILOMETER,"2017,0"
KABUPATEN SUBANG,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III,"168,18",KILOMETER,"2017,0"
KABUPATEN PURWAKARTA,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III,"70,51",KILOMETER,"2017,0"
KABUPATEN KARAWANG,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III,"79,83",KILOMETER,"2017,0"
KABUPATEN BEKASI,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I,"31,53",KILOMETER,"2017,0"
KABUPATEN BANDUNG BARAT,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III,"73,17",KILOMETER,"2017,0"
KABUPATEN PANGANDARAN,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V,"8,89",KILOMETER,"2017,0"
KOTA BOGOR,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I,"11,16",KILOMETER,"2017,0"
KOTA SUKABUMI,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II,"33,55",KILOMETER,"2017,0"
KOTA BANDUNG,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III,"38,45",KILOMETER,"2017,0"
KOTA CIREBON,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI,"6,55",KILOMETER,"2017,0"
KOTA BEKASI,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I,"21,96",KILOMETER,"2017,0"
KOTA DEPOK,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I,"11,73",KILOMETER,"2017,0"
KOTA CIMAHI,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III,"9,36",KILOMETER,"2017,0"
KOTA TASIKMALAYA,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V,"29,97",KILOMETER,"2017,0"
KOTA BANJAR,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V,"8,97",KILOMETER,"2017,0"
KABUPATEN BOGOR,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I,"132,81",KILOMETER,"2018,0"
KABUPATEN SUKABUMI,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II,"313,92",KILOMETER,"2018,0"
KABUPATEN CIANJUR,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I,"186,4",KILOMETER,"2018,0"
KABUPATEN BANDUNG,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III,"127,53",KILOMETER,"2018,0"
KABUPATEN GARUT,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV,"286,03",KILOMETER,"2018,0"
KABUPATEN TASIKMALAYA,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V,"123,65",KILOMETER,"2018,0"
KABUPATEN CIAMIS,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V,"28,63",KILOMETER,"2018,0"
KABUPATEN KUNINGAN,PROVINSI,UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V,"86,33",KILOMETER,"2018,0"
