nama_kabupaten_kota,2019,2020,2021,2022,2023
KABUPATEN BOGOR,"61,17","53,36","63,91","73,47","71,49"
KABUPATEN SUKABUMI,"49,66","62,88","64,35","63,32","53,21"
KABUPATEN CIANJUR,"49,71","51,4","58,52","61,76","63,83"
KABUPATEN BANDUNG,"70,09","67,27","64,51","70,85","66,67"
KABUPATEN GARUT,"41,37","46,42","43,73","51,9","54,68"
KABUPATEN TASIKMALAYA,"47,19","51,45","49,35","54,39","51,33"
KABUPATEN CIAMIS,"57,53","69,2","66,59","75,5","71,38"
KABUPATEN KUNINGAN,"82,68","83,92","80,98","69,29","83,03"
KABUPATEN CIREBON,"81,84","83,23","83,41","86,76","89,02"
KABUPATEN MAJALENGKA,"76,36","79,44","80,59","81,26","82,67"
KABUPATEN SUMEDANG,"89,26","92,43","87,87","80,59","72,55"
KABUPATEN INDRAMAYU,"86,4","88,86","89,75","86,64","95,9"
KABUPATEN SUBANG,"78,23","81,14","85,82","80,02","89,4"
KABUPATEN PURWAKARTA,"82,6","83,21","72,61","82,46","77,33"
KABUPATEN KARAWANG,"74,32","78,14","77,19","85,1","83,02"
KABUPATEN BEKASI,"86,97","88,82","81,02","89,99","91,54"
KABUPATEN BANDUNG BARAT,"59,47","71,47","63,78","50,96","56,93"
KABUPATEN PANGANDARAN,"82,77","87,58","81,49",83,"86,91"
KOTA BOGOR,"67,57","69,86","75,35","67,93","74,36"
KOTA SUKABUMI,"39,79","34,93","39,64","45,8","44,76"
KOTA BANDUNG,"51,65","51,39","48,9","49,85","56,01"
KOTA CIREBON,"90,85","89,01","92,71","90,62","93,27"
KOTA BEKASI,"96,01","93,9","97,54","90,8","98,52"
KOTA DEPOK,"96,3","97,48","97,06","96,21","97,43"
KOTA CIMAHI,"69,61","70,05","78,67","77,18","76,37"
KOTA TASIKMALAYA,"46,66","49,29","52,62","52,62","56,25"
KOTA BANJAR,"88,21","89,33","81,92","88,26","89,06"
