nama_kabupaten_kota,jumlah_titik_wifi,satuan,tahun
KABUPATEN BOGOR,1,TITIK,2019
KABUPATEN SUKABUMI,4,TITIK,2019
KABUPATEN CIANJUR,3,TITIK,2019
KABUPATEN BANDUNG,4,TITIK,2019
KABUPATEN GARUT,6,TITIK,2019
KABUPATEN TASIKMALAYA,4,TITIK,2019
KABUPATEN CIAMIS,4,TITIK,2019
KABUPATEN KUNINGAN,3,TITIK,2019
KABUPATEN CIREBON,5,TITIK,2019
KABUPATEN MAJALENGKA,3,TITIK,2019
KABUPATEN SUMEDANG,3,TITIK,2019
KABUPATEN INDRAMAYU,8,TITIK,2019
KABUPATEN SUBANG,7,TITIK,2019
KABUPATEN PURWAKARTA,4,TITIK,2019
KABUPATEN KARAWANG,3,TITIK,2019
KABUPATEN BEKASI,0,TITIK,2019
KABUPATEN BANDUNG BARAT,4,TITIK,2019
KABUPATEN PANGANDARAN,4,TITIK,2019
KOTA BOGOR,1,TITIK,2019
KOTA SUKABUMI,1,TITIK,2019
KOTA BANDUNG,0,TITIK,2019
KOTA CIREBON,4,TITIK,2019
KOTA BEKASI,1,TITIK,2019
KOTA DEPOK,3,TITIK,2019
KOTA CIMAHI,4,TITIK,2019
KOTA TASIKMALAYA,4,TITIK,2019
KOTA BANJAR,4,TITIK,2019
KABUPATEN BOGOR,4,TITIK,2020
KABUPATEN SUKABUMI,4,TITIK,2020
KABUPATEN CIANJUR,4,TITIK,2020
KABUPATEN BANDUNG,4,TITIK,2020
KABUPATEN GARUT,4,TITIK,2020
KABUPATEN TASIKMALAYA,4,TITIK,2020
KABUPATEN CIAMIS,4,TITIK,2020
KABUPATEN KUNINGAN,4,TITIK,2020
KABUPATEN CIREBON,4,TITIK,2020
KABUPATEN MAJALENGKA,4,TITIK,2020
KABUPATEN SUMEDANG,4,TITIK,2020
KABUPATEN INDRAMAYU,4,TITIK,2020
KABUPATEN SUBANG,4,TITIK,2020
KABUPATEN PURWAKARTA,4,TITIK,2020
KABUPATEN KARAWANG,4,TITIK,2020
KABUPATEN BEKASI,4,TITIK,2020
KABUPATEN BANDUNG BARAT,4,TITIK,2020
KABUPATEN PANGANDARAN,4,TITIK,2020
KOTA BOGOR,4,TITIK,2020
KOTA SUKABUMI,4,TITIK,2020
KOTA BANDUNG,4,TITIK,2020
KOTA CIREBON,4,TITIK,2020
KOTA BEKASI,4,TITIK,2020
KOTA DEPOK,2,TITIK,2020
KOTA CIMAHI,4,TITIK,2020
KOTA TASIKMALAYA,4,TITIK,2020
KOTA BANJAR,4,TITIK,2020
KABUPATEN BOGOR,0,TITIK,2021
KABUPATEN SUKABUMI,8,TITIK,2021
KABUPATEN CIANJUR,5,TITIK,2021
KABUPATEN BANDUNG,5,TITIK,2021
KABUPATEN GARUT,4,TITIK,2021
KABUPATEN TASIKMALAYA,5,TITIK,2021
KABUPATEN CIAMIS,4,TITIK,2021
KABUPATEN KUNINGAN,7,TITIK,2021
KABUPATEN CIREBON,7,TITIK,2021
KABUPATEN MAJALENGKA,5,TITIK,2021
KABUPATEN SUMEDANG,5,TITIK,2021
KABUPATEN INDRAMAYU,5,TITIK,2021
KABUPATEN SUBANG,5,TITIK,2021
KABUPATEN PURWAKARTA,5,TITIK,2021
KABUPATEN KARAWANG,5,TITIK,2021
KABUPATEN BEKASI,4,TITIK,2021
KABUPATEN BANDUNG BARAT,4,TITIK,2021
KABUPATEN PANGANDARAN,7,TITIK,2021
KOTA BOGOR,6,TITIK,2021
KOTA SUKABUMI,5,TITIK,2021
KOTA BANDUNG,18,TITIK,2021
KOTA CIREBON,6,TITIK,2021
KOTA BEKASI,6,TITIK,2021
KOTA DEPOK,5,TITIK,2021
KOTA CIMAHI,5,TITIK,2021
KOTA TASIKMALAYA,5,TITIK,2021
KABUPATEN BOGOR,8,TITIK,2022
KABUPATEN SUKABUMI,8,TITIK,2022
KABUPATEN CIANJUR,8,TITIK,2022
KABUPATEN BANDUNG,8,TITIK,2022
KABUPATEN GARUT,8,TITIK,2022
KABUPATEN TASIKMALAYA,9,TITIK,2022
KABUPATEN CIAMIS,8,TITIK,2022
KABUPATEN KUNINGAN,8,TITIK,2022
KABUPATEN CIREBON,9,TITIK,2022
KABUPATEN MAJALENGKA,8,TITIK,2022
KABUPATEN SUMEDANG,8,TITIK,2022
KABUPATEN INDRAMAYU,13,TITIK,2022
KABUPATEN SUBANG,9,TITIK,2022
KABUPATEN PURWAKARTA,8,TITIK,2022
KABUPATEN KARAWANG,7,TITIK,2022
KABUPATEN BEKASI,8,TITIK,2022
KABUPATEN BANDUNG BARAT,8,TITIK,2022
KABUPATEN PANGANDARAN,10,TITIK,2022
KOTA BOGOR,8,TITIK,2022
KOTA SUKABUMI,5,TITIK,2022
KOTA BANDUNG,8,TITIK,2022
KOTA CIREBON,8,TITIK,2022
KOTA BEKASI,8,TITIK,2022
KOTA DEPOK,5,TITIK,2022
KOTA CIMAHI,8,TITIK,2022
KOTA TASIKMALAYA,8,TITIK,2022
KOTA BANJAR,8,TITIK,2022
KABUPATEN BOGOR,8,TITIK,2023
KABUPATEN SUKABUMI,8,TITIK,2023
KABUPATEN CIANJUR,8,TITIK,2023
KABUPATEN BANDUNG,8,TITIK,2023
KABUPATEN GARUT,8,TITIK,2023
KABUPATEN TASIKMALAYA,9,TITIK,2023
KABUPATEN CIAMIS,8,TITIK,2023
KABUPATEN KUNINGAN,8,TITIK,2023
KABUPATEN CIREBON,9,TITIK,2023
KABUPATEN MAJALENGKA,8,TITIK,2023
KABUPATEN SUMEDANG,8,TITIK,2023
KABUPATEN INDRAMAYU,13,TITIK,2023
KABUPATEN SUBANG,9,TITIK,2023
KABUPATEN PURWAKARTA,8,TITIK,2023
KABUPATEN KARAWANG,7,TITIK,2023
KABUPATEN BEKASI,8,TITIK,2023
KABUPATEN BANDUNG BARAT,8,TITIK,2023
KABUPATEN PANGANDARAN,10,TITIK,2023
KOTA BOGOR,8,TITIK,2023
KOTA SUKABUMI,5,TITIK,2023
KOTA BANDUNG,8,TITIK,2023
KOTA CIREBON,8,TITIK,2023
KOTA BEKASI,8,TITIK,2023
KOTA DEPOK,5,TITIK,2023
KOTA CIMAHI,8,TITIK,2023
KOTA TASIKMALAYA,8,TITIK,2023
KOTA BANJAR,8,TITIK,2023
