nama_kabupaten_kota,angka_harapan_hidup,satuan,tahun
KABUPATEN BOGOR,"70,33",TAHUN,"2010,0"
KABUPATEN SUKABUMI,"69,47",TAHUN,"2010,0"
KABUPATEN CIANJUR,"68,76",TAHUN,"2010,0"
KABUPATEN BANDUNG,"72,93",TAHUN,"2010,0"
KABUPATEN GARUT,"70,34",TAHUN,"2010,0"
KABUPATEN TASIKMALAYA,"67,54",TAHUN,"2010,0"
KABUPATEN CIAMIS,"69,99",TAHUN,"2010,0"
KABUPATEN KUNINGAN,"72,04",TAHUN,"2010,0"
KABUPATEN CIREBON,"71,09",TAHUN,"2010,0"
KABUPATEN MAJALENGKA,"68,22",TAHUN,"2010,0"
KABUPATEN SUMEDANG,"71,68",TAHUN,"2010,0"
KABUPATEN INDRAMAYU,"69,99",TAHUN,"2010,0"
KABUPATEN SUBANG,"71,04",TAHUN,"2010,0"
KABUPATEN PURWAKARTA,"69,87",TAHUN,"2010,0"
KABUPATEN KARAWANG,"71,35",TAHUN,"2010,0"
KABUPATEN BEKASI,"72,93",TAHUN,"2010,0"
KABUPATEN BANDUNG BARAT,"71,5",TAHUN,"2010,0"
KOTA BOGOR,"72,54",TAHUN,"2010,0"
KOTA SUKABUMI,"71,65",TAHUN,"2010,0"
KOTA BANDUNG,"73,72",TAHUN,"2010,0"
KOTA CIREBON,"71,62",TAHUN,"2010,0"
KOTA BEKASI,"74,12",TAHUN,"2010,0"
KOTA DEPOK,"73,83",TAHUN,"2010,0"
KOTA CIMAHI,"73,53",TAHUN,"2010,0"
KOTA TASIKMALAYA,"70,73",TAHUN,"2010,0"
KOTA BANJAR,"69,93",TAHUN,"2010,0"
KABUPATEN BOGOR,"70,39",TAHUN,"2011,0"
KABUPATEN SUKABUMI,"69,55",TAHUN,"2011,0"
KABUPATEN CIANJUR,"68,86",TAHUN,"2011,0"
KABUPATEN BANDUNG,"72,94",TAHUN,"2011,0"
KABUPATEN GARUT,"70,39",TAHUN,"2011,0"
KABUPATEN TASIKMALAYA,"67,67",TAHUN,"2011,0"
KABUPATEN CIAMIS,"70,09",TAHUN,"2011,0"
KABUPATEN KUNINGAN,"72,1",TAHUN,"2011,0"
KABUPATEN CIREBON,"71,15",TAHUN,"2011,0"
KABUPATEN MAJALENGKA,"68,35",TAHUN,"2011,0"
KABUPATEN SUMEDANG,"71,74",TAHUN,"2011,0"
KABUPATEN INDRAMAYU,"70,08",TAHUN,"2011,0"
KABUPATEN SUBANG,"71,09",TAHUN,"2011,0"
KABUPATEN PURWAKARTA,"69,9",TAHUN,"2011,0"
KABUPATEN KARAWANG,"71,38",TAHUN,"2011,0"
KABUPATEN BEKASI,"73,0",TAHUN,"2011,0"
KABUPATEN BANDUNG BARAT,"71,53",TAHUN,"2011,0"
KOTA BOGOR,"72,55",TAHUN,"2011,0"
KOTA SUKABUMI,"71,69",TAHUN,"2011,0"
KOTA BANDUNG,"73,74",TAHUN,"2011,0"
KOTA CIREBON,"71,66",TAHUN,"2011,0"
KOTA BEKASI,"74,13",TAHUN,"2011,0"
KOTA DEPOK,"73,87",TAHUN,"2011,0"
KOTA CIMAHI,"73,54",TAHUN,"2011,0"
KOTA TASIKMALAYA,"70,81",TAHUN,"2011,0"
KOTA BANJAR,"70,03",TAHUN,"2011,0"
KABUPATEN BOGOR,"70,43",TAHUN,"2012,0"
KABUPATEN SUKABUMI,"69,63",TAHUN,"2012,0"
KABUPATEN CIANJUR,"68,96",TAHUN,"2012,0"
KABUPATEN BANDUNG,"72,95",TAHUN,"2012,0"
KABUPATEN GARUT,"70,43",TAHUN,"2012,0"
KABUPATEN TASIKMALAYA,"67,79",TAHUN,"2012,0"
KABUPATEN CIAMIS,"70,19",TAHUN,"2012,0"
KABUPATEN KUNINGAN,"72,15",TAHUN,"2012,0"
KABUPATEN CIREBON,"71,2",TAHUN,"2012,0"
KABUPATEN MAJALENGKA,"68,48",TAHUN,"2012,0"
KABUPATEN SUMEDANG,"71,8",TAHUN,"2012,0"
KABUPATEN INDRAMAYU,"70,17",TAHUN,"2012,0"
KABUPATEN SUBANG,"71,14",TAHUN,"2012,0"
KABUPATEN PURWAKARTA,"69,93",TAHUN,"2012,0"
KABUPATEN KARAWANG,"71,41",TAHUN,"2012,0"
KABUPATEN BEKASI,"73,07",TAHUN,"2012,0"
KABUPATEN BANDUNG BARAT,"71,55",TAHUN,"2012,0"
KOTA BOGOR,"72,56",TAHUN,"2012,0"
KOTA SUKABUMI,"71,72",TAHUN,"2012,0"
KOTA BANDUNG,"73,77",TAHUN,"2012,0"
KOTA CIREBON,"71,7",TAHUN,"2012,0"
KOTA BEKASI,"74,15",TAHUN,"2012,0"
KOTA DEPOK,"73,9",TAHUN,"2012,0"
KOTA CIMAHI,"73,55",TAHUN,"2012,0"
KOTA TASIKMALAYA,"70,87",TAHUN,"2012,0"
KOTA BANJAR,"70,12",TAHUN,"2012,0"
KABUPATEN BOGOR,"70,47",TAHUN,"2013,0"
KABUPATEN SUKABUMI,"69,7",TAHUN,"2013,0"
KABUPATEN CIANJUR,"69,04",TAHUN,"2013,0"
KABUPATEN BANDUNG,"72,96",TAHUN,"2013,0"
KABUPATEN GARUT,"70,47",TAHUN,"2013,0"
KABUPATEN TASIKMALAYA,"67,9",TAHUN,"2013,0"
KABUPATEN CIAMIS,"70,29",TAHUN,"2013,0"
KABUPATEN KUNINGAN,"72,21",TAHUN,"2013,0"
KABUPATEN CIREBON,"71,25",TAHUN,"2013,0"
KABUPATEN MAJALENGKA,"68,6",TAHUN,"2013,0"
KABUPATEN SUMEDANG,"71,86",TAHUN,"2013,0"
KABUPATEN INDRAMAYU,"70,25",TAHUN,"2013,0"
KABUPATEN SUBANG,"71,19",TAHUN,"2013,0"
KABUPATEN PURWAKARTA,"69,95",TAHUN,"2013,0"
KABUPATEN KARAWANG,"71,44",TAHUN,"2013,0"
KABUPATEN BEKASI,"73,13",TAHUN,"2013,0"
KABUPATEN BANDUNG BARAT,"71,56",TAHUN,"2013,0"
KABUPATEN PANGANDARAN,"69,79",TAHUN,"2013,0"
KOTA BOGOR,"72,57",TAHUN,"2013,0"
KOTA SUKABUMI,"71,75",TAHUN,"2013,0"
KOTA BANDUNG,"73,79",TAHUN,"2013,0"
KOTA CIREBON,"71,75",TAHUN,"2013,0"
KOTA BEKASI,"74,17",TAHUN,"2013,0"
KOTA DEPOK,"73,94",TAHUN,"2013,0"
KOTA CIMAHI,"73,56",TAHUN,"2013,0"
KOTA TASIKMALAYA,"70,93",TAHUN,"2013,0"
KOTA BANJAR,"70,2",TAHUN,"2013,0"
KABUPATEN BOGOR,"70,49",TAHUN,"2014,0"
KABUPATEN SUKABUMI,"69,73",TAHUN,"2014,0"
KABUPATEN CIANJUR,"69,08",TAHUN,"2014,0"
KABUPATEN BANDUNG,"72,97",TAHUN,"2014,0"
KABUPATEN GARUT,"70,49",TAHUN,"2014,0"
KABUPATEN TASIKMALAYA,"67,96",TAHUN,"2014,0"
KABUPATEN CIAMIS,"70,34",TAHUN,"2014,0"
KABUPATEN KUNINGAN,"72,24",TAHUN,"2014,0"
KABUPATEN CIREBON,"71,28",TAHUN,"2014,0"
KABUPATEN MAJALENGKA,"68,66",TAHUN,"2014,0"
KABUPATEN SUMEDANG,"71,89",TAHUN,"2014,0"
KABUPATEN INDRAMAYU,"70,29",TAHUN,"2014,0"
KABUPATEN SUBANG,"71,22",TAHUN,"2014,0"
KABUPATEN PURWAKARTA,"69,96",TAHUN,"2014,0"
KABUPATEN KARAWANG,"71,45",TAHUN,"2014,0"
KABUPATEN BEKASI,"73,16",TAHUN,"2014,0"
KABUPATEN BANDUNG BARAT,"71,56",TAHUN,"2014,0"
KABUPATEN PANGANDARAN,"69,84",TAHUN,"2014,0"
KOTA BOGOR,"72,58",TAHUN,"2014,0"
KOTA SUKABUMI,"71,76",TAHUN,"2014,0"
KOTA BANDUNG,"73,8",TAHUN,"2014,0"
KOTA CIREBON,"71,77",TAHUN,"2014,0"
KOTA BEKASI,"74,18",TAHUN,"2014,0"
KOTA DEPOK,"73,96",TAHUN,"2014,0"
KOTA CIMAHI,"73,56",TAHUN,"2014,0"
KOTA TASIKMALAYA,"70,96",TAHUN,"2014,0"
KOTA BANJAR,"70,24",TAHUN,"2014,0"
KABUPATEN BOGOR,"70,59",TAHUN,"2015,0"
KABUPATEN SUKABUMI,"70,03",TAHUN,"2015,0"
KABUPATEN CIANJUR,"69,28",TAHUN,"2015,0"
KABUPATEN BANDUNG,"73,07",TAHUN,"2015,0"
KABUPATEN GARUT,"70,69",TAHUN,"2015,0"
KABUPATEN TASIKMALAYA,"68,36",TAHUN,"2015,0"
KABUPATEN CIAMIS,"70,74",TAHUN,"2015,0"
KABUPATEN KUNINGAN,"72,64",TAHUN,"2015,0"
KABUPATEN CIREBON,"71,38",TAHUN,"2015,0"
KABUPATEN MAJALENGKA,"69,06",TAHUN,"2015,0"
KABUPATEN SUMEDANG,"71,91",TAHUN,"2015,0"
KABUPATEN INDRAMAYU,"70,59",TAHUN,"2015,0"
KABUPATEN SUBANG,"71,52",TAHUN,"2015,0"
KABUPATEN PURWAKARTA,"70,26",TAHUN,"2015,0"
KABUPATEN KARAWANG,"71,55",TAHUN,"2015,0"
KABUPATEN BEKASI,"73,18",TAHUN,"2015,0"
KABUPATEN BANDUNG BARAT,"71,76",TAHUN,"2015,0"
KABUPATEN PANGANDARAN,"70,24",TAHUN,"2015,0"
KOTA BOGOR,"72,88",TAHUN,"2015,0"
KOTA SUKABUMI,"71,86",TAHUN,"2015,0"
KOTA BANDUNG,"73,82",TAHUN,"2015,0"
KOTA CIREBON,"71,79",TAHUN,"2015,0"
KOTA BEKASI,"74,48",TAHUN,"2015,0"
KOTA DEPOK,"73,98",TAHUN,"2015,0"
KOTA CIMAHI,"73,58",TAHUN,"2015,0"
KOTA TASIKMALAYA,"71,26",TAHUN,"2015,0"
KOTA BANJAR,"70,26",TAHUN,"2015,0"
KABUPATEN BOGOR,"70,65",TAHUN,"2016,0"
KABUPATEN SUKABUMI,"70,14",TAHUN,"2016,0"
KABUPATEN CIANJUR,"69,39",TAHUN,"2016,0"
