nama_kabupaten_kota;jenis_kelamin;jumlah_bayi;satuan;tahun
KABUPATEN BOGOR;LAKI-LAKI;49743;ORANG;2017
KABUPATEN BOGOR;PEREMPUAN;48337;ORANG;2017
KABUPATEN SUKABUMI;LAKI-LAKI;1528;ORANG;2017
KABUPATEN SUKABUMI;PEREMPUAN;1454;ORANG;2017
KABUPATEN CIANJUR;LAKI-LAKI;19308;ORANG;2017
KABUPATEN CIANJUR;PEREMPUAN;18527;ORANG;2017
KABUPATEN BANDUNG;LAKI-LAKI;33653;ORANG;2017
KABUPATEN BANDUNG;PEREMPUAN;33518;ORANG;2017
KABUPATEN GARUT;LAKI-LAKI;23205;ORANG;2017
KABUPATEN GARUT;PEREMPUAN;21965;ORANG;2017
KABUPATEN TASIKMALAYA;LAKI-LAKI;15202;ORANG;2017
KABUPATEN TASIKMALAYA;PEREMPUAN;14445;ORANG;2017
KABUPATEN CIAMIS;LAKI-LAKI;8628;ORANG;2017
KABUPATEN CIAMIS;PEREMPUAN;8038;ORANG;2017
KABUPATEN KUNINGAN;LAKI-LAKI;9435;ORANG;2017
KABUPATEN KUNINGAN;PEREMPUAN;8816;ORANG;2017
KABUPATEN CIREBON;LAKI-LAKI;22294;ORANG;2017
KABUPATEN CIREBON;PEREMPUAN;21078;ORANG;2017
KABUPATEN MAJALENGKA;LAKI-LAKI;9458;ORANG;2017
KABUPATEN MAJALENGKA;PEREMPUAN;9107;ORANG;2017
KABUPATEN SUMEDANG;LAKI-LAKI;9842;ORANG;2017
KABUPATEN SUMEDANG;PEREMPUAN;9346;ORANG;2017
KABUPATEN INDRAMAYU;LAKI-LAKI;16503;ORANG;2017
KABUPATEN INDRAMAYU;PEREMPUAN;14941;ORANG;2017
KABUPATEN SUBANG;LAKI-LAKI;12753;ORANG;2017
KABUPATEN SUBANG;PEREMPUAN;12728;ORANG;2017
KABUPATEN PURWAKARTA;LAKI-LAKI;0;ORANG;2017
KABUPATEN PURWAKARTA;PEREMPUAN;0;ORANG;2017
KABUPATEN KARAWANG;LAKI-LAKI;20883;ORANG;2017
KABUPATEN KARAWANG;PEREMPUAN;20276;ORANG;2017
KABUPATEN BEKASI;LAKI-LAKI;34428;ORANG;2017
KABUPATEN BEKASI;PEREMPUAN;33789;ORANG;2017
KABUPATEN BANDUNG BARAT;LAKI-LAKI;0;ORANG;2017
KABUPATEN BANDUNG BARAT;PEREMPUAN;0;ORANG;2017
KABUPATEN PANGANDARAN;LAKI-LAKI;2792;ORANG;2017
KABUPATEN PANGANDARAN;PEREMPUAN;2634;ORANG;2017
KOTA BOGOR;LAKI-LAKI;9167;ORANG;2017
KOTA BOGOR;PEREMPUAN;9282;ORANG;2017
KOTA SUKABUMI;LAKI-LAKI;2489;ORANG;2017
KOTA SUKABUMI;PEREMPUAN;2405;ORANG;2017
KOTA BANDUNG;LAKI-LAKI;21585;ORANG;2017
KOTA BANDUNG;PEREMPUAN;20555;ORANG;2017
KOTA CIREBON;LAKI-LAKI;2155;ORANG;2017
KOTA CIREBON;PEREMPUAN;2316;ORANG;2017
KOTA BEKASI;LAKI-LAKI;20230;ORANG;2017
KOTA BEKASI;PEREMPUAN;21100;ORANG;2017
KOTA DEPOK;LAKI-LAKI;18271;ORANG;2017
KOTA DEPOK;PEREMPUAN;18285;ORANG;2017
KOTA CIMAHI;LAKI-LAKI;5163;ORANG;2017
KOTA CIMAHI;PEREMPUAN;5181;ORANG;2017
KOTA TASIKMALAYA;LAKI-LAKI;5832;ORANG;2017
KOTA TASIKMALAYA;PEREMPUAN;5660;ORANG;2017
KOTA BANJAR;LAKI-LAKI;1540;ORANG;2017
KOTA BANJAR;PEREMPUAN;1623;ORANG;2017
KABUPATEN BOGOR;LAKI-LAKI;53062;ORANG;2018
KABUPATEN BOGOR;PEREMPUAN;52351;ORANG;2018
KABUPATEN SUKABUMI;LAKI-LAKI;19353;ORANG;2018
KABUPATEN SUKABUMI;PEREMPUAN;19058;ORANG;2018
KABUPATEN CIANJUR;LAKI-LAKI;19275;ORANG;2018
KABUPATEN CIANJUR;PEREMPUAN;18256;ORANG;2018
KABUPATEN BANDUNG;LAKI-LAKI;32715;ORANG;2018
KABUPATEN BANDUNG;PEREMPUAN;31433;ORANG;2018
KABUPATEN GARUT;LAKI-LAKI;24925;ORANG;2018
KABUPATEN GARUT;PEREMPUAN;23864;ORANG;2018
KABUPATEN TASIKMALAYA;LAKI-LAKI;11918;ORANG;2018
KABUPATEN TASIKMALAYA;PEREMPUAN;11392;ORANG;2018
KABUPATEN CIAMIS;LAKI-LAKI;899;ORANG;2018
KABUPATEN CIAMIS;PEREMPUAN;8316;ORANG;2018
KABUPATEN KUNINGAN;LAKI-LAKI;9946;ORANG;2018
KABUPATEN KUNINGAN;PEREMPUAN;8929;ORANG;2018
KABUPATEN CIREBON;LAKI-LAKI;2324;ORANG;2018
KABUPATEN CIREBON;PEREMPUAN;22882;ORANG;2018
KABUPATEN MAJALENGKA;LAKI-LAKI;9853;ORANG;2018
KABUPATEN MAJALENGKA;PEREMPUAN;9629;ORANG;2018
KABUPATEN SUMEDANG;LAKI-LAKI;10117;ORANG;2018
KABUPATEN SUMEDANG;PEREMPUAN;9798;ORANG;2018
KABUPATEN INDRAMAYU;LAKI-LAKI;1402;ORANG;2018
KABUPATEN INDRAMAYU;PEREMPUAN;13943;ORANG;2018
KABUPATEN SUBANG;LAKI-LAKI;14611;ORANG;2018
KABUPATEN SUBANG;PEREMPUAN;14171;ORANG;2018
KABUPATEN PURWAKARTA;LAKI-LAKI;8164;ORANG;2018
KABUPATEN PURWAKARTA;PEREMPUAN;8208;ORANG;2018
KABUPATEN KARAWANG;LAKI-LAKI;20874;ORANG;2018
KABUPATEN KARAWANG;PEREMPUAN;2064;ORANG;2018
KABUPATEN BEKASI;LAKI-LAKI;36951;ORANG;2018
KABUPATEN BEKASI;PEREMPUAN;36277;ORANG;2018
KABUPATEN BANDUNG BARAT;LAKI-LAKI;14963;ORANG;2018
KABUPATEN BANDUNG BARAT;PEREMPUAN;13459;ORANG;2018
KABUPATEN PANGANDARAN;LAKI-LAKI;2886;ORANG;2018
KABUPATEN PANGANDARAN;PEREMPUAN;2782;ORANG;2018
KOTA BOGOR;LAKI-LAKI;9494;ORANG;2018
KOTA BOGOR;PEREMPUAN;9186;ORANG;2018
KOTA SUKABUMI;LAKI-LAKI;2707;ORANG;2018
KOTA SUKABUMI;PEREMPUAN;2597;ORANG;2018
KOTA BANDUNG;LAKI-LAKI;21667;ORANG;2018
KOTA BANDUNG;PEREMPUAN;21457;ORANG;2018
KOTA CIREBON;LAKI-LAKI;2431;ORANG;2018
KOTA CIREBON;PEREMPUAN;2253;ORANG;2018
KOTA BEKASI;LAKI-LAKI;24161;ORANG;2018
KOTA BEKASI;PEREMPUAN;23931;ORANG;2018
KOTA DEPOK;LAKI-LAKI;214;ORANG;2018
KOTA DEPOK;PEREMPUAN;20562;ORANG;2018
KOTA CIMAHI;LAKI-LAKI;4531;ORANG;2018
KOTA CIMAHI;PEREMPUAN;4633;ORANG;2018
KOTA TASIKMALAYA;LAKI-LAKI;5451;ORANG;2018
KOTA TASIKMALAYA;PEREMPUAN;5277;ORANG;2018
KOTA BANJAR;LAKI-LAKI;155;ORANG;2018
KOTA BANJAR;PEREMPUAN;1519;ORANG;2018
KABUPATEN BOGOR;LAKI-LAKI;53723;ORANG;2019
KABUPATEN BOGOR;PEREMPUAN;52498;ORANG;2019
KABUPATEN SUKABUMI;LAKI-LAKI;20111;ORANG;2019
KABUPATEN SUKABUMI;PEREMPUAN;19229;ORANG;2019
KABUPATEN CIANJUR;LAKI-LAKI;18760;ORANG;2019
KABUPATEN CIANJUR;PEREMPUAN;17802;ORANG;2019
KABUPATEN BANDUNG;LAKI-LAKI;32476;ORANG;2019
KABUPATEN BANDUNG;PEREMPUAN;31092;ORANG;2019
KABUPATEN GARUT;LAKI-LAKI;22998;ORANG;2019
KABUPATEN GARUT;PEREMPUAN;22167;ORANG;2019
KABUPATEN TASIKMALAYA;LAKI-LAKI;14926;ORANG;2019
KABUPATEN TASIKMALAYA;PEREMPUAN;14348;ORANG;2019
KABUPATEN CIAMIS;LAKI-LAKI;8969;ORANG;2019
KABUPATEN CIAMIS;PEREMPUAN;8260;ORANG;2019
KABUPATEN KUNINGAN;LAKI-LAKI;9418;ORANG;2019
KABUPATEN KUNINGAN;PEREMPUAN;8899;ORANG;2019
KABUPATEN CIREBON;LAKI-LAKI;24055;ORANG;2019
KABUPATEN CIREBON;PEREMPUAN;23184;ORANG;2019
KABUPATEN MAJALENGKA;LAKI-LAKI;9881;ORANG;2019
KABUPATEN MAJALENGKA;PEREMPUAN;9550;ORANG;2019
KABUPATEN SUMEDANG;LAKI-LAKI;9471;ORANG;2019
KABUPATEN SUMEDANG;PEREMPUAN;9056;ORANG;2019
KABUPATEN INDRAMAYU;LAKI-LAKI;15023;ORANG;2019
KABUPATEN INDRAMAYU;PEREMPUAN;14731;ORANG;2019
KABUPATEN SUBANG;LAKI-LAKI;15603;ORANG;2019
KABUPATEN SUBANG;PEREMPUAN;15482;ORANG;2019
KABUPATEN PURWAKARTA;LAKI-LAKI;8475;ORANG;2019
KABUPATEN PURWAKARTA;PEREMPUAN;8336;ORANG;2019
KABUPATEN KARAWANG;LAKI-LAKI;21089;ORANG;2019
KABUPATEN KARAWANG;PEREMPUAN;21065;ORANG;2019
KABUPATEN BEKASI;LAKI-LAKI;38144;ORANG;2019
KABUPATEN BEKASI;PEREMPUAN;37709;ORANG;2019
KABUPATEN BANDUNG BARAT;LAKI-LAKI;0;ORANG;2019
KABUPATEN BANDUNG BARAT;PEREMPUAN;0;ORANG;2019
KABUPATEN PANGANDARAN;LAKI-LAKI;0;ORANG;2019
KABUPATEN PANGANDARAN;PEREMPUAN;0;ORANG;2019
KOTA BOGOR;LAKI-LAKI;9396;ORANG;2019
KOTA BOGOR;PEREMPUAN;9157;ORANG;2019
KOTA SUKABUMI;LAKI-LAKI;2445;ORANG;2019
KOTA SUKABUMI;PEREMPUAN;2509;ORANG;2019
KOTA BANDUNG;LAKI-LAKI;20911;ORANG;2019
KOTA BANDUNG;PEREMPUAN;21936;ORANG;2019
KOTA CIREBON;LAKI-LAKI;2410;ORANG;2019
KOTA CIREBON;PEREMPUAN;2320;ORANG;2019
KOTA BEKASI;LAKI-LAKI;25234;ORANG;2019
KOTA BEKASI;PEREMPUAN;24531;ORANG;2019
KOTA DEPOK;LAKI-LAKI;21823;ORANG;2019
KOTA DEPOK;PEREMPUAN;20979;ORANG;2019
KOTA CIMAHI;LAKI-LAKI;5112;ORANG;2019
KOTA CIMAHI;PEREMPUAN;4976;ORANG;2019
KOTA TASIKMALAYA;LAKI-LAKI;5474;ORANG;2019
KOTA TASIKMALAYA;PEREMPUAN;5300;ORANG;2019
KOTA BANJAR;LAKI-LAKI;1654;ORANG;2019
KOTA BANJAR;PEREMPUAN;3137;ORANG;2019
KABUPATEN BOGOR;LAKI-LAKI;46062;ORANG;2020
KABUPATEN BOGOR;PEREMPUAN;45142;ORANG;2020
KABUPATEN SUKABUMI;LAKI-LAKI;19636;ORANG;2020
KABUPATEN SUKABUMI;PEREMPUAN;18905;ORANG;2020
KABUPATEN CIANJUR;LAKI-LAKI;14298;ORANG;2020
KABUPATEN CIANJUR;PEREMPUAN;13729;ORANG;2020
KABUPATEN BANDUNG;LAKI-LAKI;29148;ORANG;2020
KABUPATEN BANDUNG;PEREMPUAN;28005;ORANG;2020
KABUPATEN GARUT;LAKI-LAKI;20847;ORANG;2020
KABUPATEN GARUT;PEREMPUAN;19616;ORANG;2020
KABUPATEN TASIKMALAYA;LAKI-LAKI;14068;ORANG;2020
KABUPATEN TASIKMALAYA;PEREMPUAN;13188;ORANG;2020
KABUPATEN CIAMIS;LAKI-LAKI;9053;ORANG;2020
KABUPATEN CIAMIS;PEREMPUAN;8513;ORANG;2020
KABUPATEN KUNINGAN;LAKI-LAKI;9437;ORANG;2020
