nama_kabupaten_kota,jumlah_kematian,satuan,tahun
KABUPATEN BOGOR,6,ORANG,2019
KABUPATEN SUKABUMI,23,ORANG,2019
KABUPATEN CIANJUR,10,ORANG,2019
KABUPATEN BANDUNG,11,ORANG,2019
KABUPATEN GARUT,2,ORANG,2019
KABUPATEN TASIKMALAYA,17,ORANG,2019
KABUPATEN CIAMIS,16,ORANG,2019
KABUPATEN KUNINGAN,2,ORANG,2019
KABUPATEN CIREBON,5,ORANG,2019
KABUPATEN MAJALENGKA,5,ORANG,2019
KABUPATEN SUMEDANG,10,ORANG,2019
KABUPATEN INDRAMAYU,8,ORANG,2019
KABUPATEN SUBANG,3,ORANG,2019
KABUPATEN PURWAKARTA,10,ORANG,2019
KABUPATEN KARAWANG,4,ORANG,2019
KABUPATEN BEKASI,0,ORANG,2019
KABUPATEN BANDUNG BARAT,7,ORANG,2019
KABUPATEN PANGANDARAN,1,ORANG,2019
KOTA BOGOR,4,ORANG,2019
KOTA SUKABUMI,1,ORANG,2019
KOTA BANDUNG,27,ORANG,2019
KOTA CIREBON,4,ORANG,2019
KOTA BEKASI,3,ORANG,2019
KOTA DEPOK,4,ORANG,2019
KOTA CIMAHI,2,ORANG,2019
KOTA TASIKMALAYA,14,ORANG,2019
KOTA BANJAR,14,ORANG,2019
KABUPATEN BOGOR,8,ORANG,2020
KABUPATEN SUKABUMI,31,ORANG,2020
KABUPATEN CIANJUR,22,ORANG,2020
KABUPATEN BANDUNG,8,ORANG,2020
KABUPATEN GARUT,5,ORANG,2020
KABUPATEN TASIKMALAYA,11,ORANG,2020
KABUPATEN CIAMIS,7,ORANG,2020
KABUPATEN KUNINGAN,3,ORANG,2020
KABUPATEN CIREBON,5,ORANG,2020
KABUPATEN MAJALENGKA,4,ORANG,2020
KABUPATEN SUMEDANG,20,ORANG,2020
KABUPATEN INDRAMAYU,1,ORANG,2020
KABUPATEN SUBANG,0,ORANG,2020
KABUPATEN PURWAKARTA,3,ORANG,2020
KABUPATEN KARAWANG,8,ORANG,2020
KABUPATEN BEKASI,0,ORANG,2020
KABUPATEN BANDUNG BARAT,0,ORANG,2020
KABUPATEN PANGANDARAN,2,ORANG,2020
KOTA BOGOR,4,ORANG,2020
KOTA SUKABUMI,5,ORANG,2020
KOTA BANDUNG,10,ORANG,2020
KOTA CIREBON,0,ORANG,2020
KOTA BEKASI,2,ORANG,2020
KOTA DEPOK,7,ORANG,2020
KOTA CIMAHI,0,ORANG,2020
KOTA TASIKMALAYA,16,ORANG,2020
KOTA BANJAR,11,ORANG,2020
KABUPATEN BOGOR,6,ORANG,2021
KABUPATEN SUKABUMI,9,ORANG,2021
KABUPATEN CIANJUR,33,ORANG,2021
KABUPATEN BANDUNG,10,ORANG,2021
KABUPATEN GARUT,10,ORANG,2021
KABUPATEN TASIKMALAYA,10,ORANG,2021
KABUPATEN CIAMIS,13,ORANG,2021
KABUPATEN KUNINGAN,1,ORANG,2021
KABUPATEN CIREBON,16,ORANG,2021
KABUPATEN MAJALENGKA,1,ORANG,2021
KABUPATEN SUMEDANG,25,ORANG,2021
KABUPATEN INDRAMAYU,6,ORANG,2021
KABUPATEN SUBANG,0,ORANG,2021
KABUPATEN PURWAKARTA,8,ORANG,2021
KABUPATEN KARAWANG,11,ORANG,2021
KABUPATEN BEKASI,0,ORANG,2021
KABUPATEN BANDUNG BARAT,6,ORANG,2021
KABUPATEN PANGANDARAN,0,ORANG,2021
KOTA BOGOR,2,ORANG,2021
KOTA SUKABUMI,1,ORANG,2021
KOTA BANDUNG,9,ORANG,2021
KOTA CIREBON,0,ORANG,2021
KOTA BEKASI,0,ORANG,2021
KOTA DEPOK,3,ORANG,2021
KOTA CIMAHI,10,ORANG,2021
KOTA TASIKMALAYA,20,ORANG,2021
KOTA BANJAR,7,ORANG,2021
KABUPATEN BOGOR,7,ORANG,2022
KABUPATEN SUKABUMI,6,ORANG,2022
KABUPATEN CIANJUR,3,ORANG,2022
KABUPATEN BANDUNG,25,ORANG,2022
KABUPATEN GARUT,4,ORANG,2022
KABUPATEN TASIKMALAYA,16,ORANG,2022
KABUPATEN CIAMIS,9,ORANG,2022
KABUPATEN KUNINGAN,11,ORANG,2022
KABUPATEN CIREBON,3,ORANG,2022
KABUPATEN MAJALENGKA,2,ORANG,2022
KABUPATEN SUMEDANG,21,ORANG,2022
KABUPATEN INDRAMAYU,2,ORANG,2022
KABUPATEN SUBANG,0,ORANG,2022
KABUPATEN PURWAKARTA,6,ORANG,2022
KABUPATEN KARAWANG,4,ORANG,2022
KABUPATEN BEKASI,0,ORANG,2022
KABUPATEN BANDUNG BARAT,5,ORANG,2022
KABUPATEN PANGANDARAN,3,ORANG,2022
KOTA BOGOR,3,ORANG,2022
KOTA SUKABUMI,4,ORANG,2022
KOTA BANDUNG,6,ORANG,2022
KOTA CIREBON,2,ORANG,2022
KOTA BEKASI,1,ORANG,2022
KOTA DEPOK,5,ORANG,2022
KOTA CIMAHI,1,ORANG,2022
KOTA TASIKMALAYA,17,ORANG,2022
KOTA BANJAR,7,ORANG,2022
KABUPATEN BOGOR,52,ORANG,2023
KABUPATEN SUKABUMI,31,ORANG,2023
KABUPATEN CIANJUR,9,ORANG,2023
KABUPATEN BANDUNG,10,ORANG,2023
KABUPATEN GARUT,7,ORANG,2023
KABUPATEN TASIKMALAYA,7,ORANG,2023
KABUPATEN CIAMIS,12,ORANG,2023
KABUPATEN KUNINGAN,11,ORANG,2023
KABUPATEN CIREBON,14,ORANG,2023
KABUPATEN MAJALENGKA,14,ORANG,2023
KABUPATEN SUMEDANG,9,ORANG,2023
KABUPATEN INDRAMAYU,0,ORANG,2023
KABUPATEN SUBANG,1,ORANG,2023
KABUPATEN PURWAKARTA,5,ORANG,2023
KABUPATEN KARAWANG,1,ORANG,2023
KABUPATEN BEKASI,11,ORANG,2023
KABUPATEN BANDUNG BARAT,0,ORANG,2023
KABUPATEN PANGANDARAN,4,ORANG,2023
KOTA BOGOR,11,ORANG,2023
KOTA SUKABUMI,4,ORANG,2023
KOTA BANDUNG,12,ORANG,2023
KOTA CIREBON,1,ORANG,2023
KOTA BEKASI,8,ORANG,2023
KOTA DEPOK,25,ORANG,2023
KOTA CIMAHI,2,ORANG,2023
KOTA TASIKMALAYA,16,ORANG,2023
KOTA BANJAR,11,ORANG,2023
