nama_kabupaten_kota,jumlah_kematian,satuan,tahun
KABUPATEN BOGOR,104,ORANG,2019
KABUPATEN SUKABUMI,207,ORANG,2019
KABUPATEN CIANJUR,84,ORANG,2019
KABUPATEN BANDUNG,217,ORANG,2019
KABUPATEN GARUT,248,ORANG,2019
KABUPATEN TASIKMALAYA,182,ORANG,2019
KABUPATEN CIAMIS,98,ORANG,2019
KABUPATEN KUNINGAN,69,ORANG,2019
KABUPATEN CIREBON,127,ORANG,2019
KABUPATEN MAJALENGKA,77,ORANG,2019
KABUPATEN SUMEDANG,134,ORANG,2019
KABUPATEN INDRAMAYU,246,ORANG,2019
KABUPATEN SUBANG,111,ORANG,2019
KABUPATEN PURWAKARTA,77,ORANG,2019
KABUPATEN KARAWANG,157,ORANG,2019
KABUPATEN BEKASI,35,ORANG,2019
KABUPATEN BANDUNG BARAT,139,ORANG,2019
KABUPATEN PANGANDARAN,33,ORANG,2019
KOTA BOGOR,54,ORANG,2019
KOTA SUKABUMI,34,ORANG,2019
KOTA BANDUNG,114,ORANG,2019
KOTA CIREBON,14,ORANG,2019
KOTA BEKASI,58,ORANG,2019
KOTA DEPOK,81,ORANG,2019
KOTA CIMAHI,64,ORANG,2019
KOTA TASIKMALAYA,62,ORANG,2019
KOTA BANJAR,25,ORANG,2019
KABUPATEN BOGOR,133,ORANG,2020
KABUPATEN SUKABUMI,223,ORANG,2020
KABUPATEN CIANJUR,173,ORANG,2020
KABUPATEN BANDUNG,146,ORANG,2020
KABUPATEN GARUT,210,ORANG,2020
KABUPATEN TASIKMALAYA,162,ORANG,2020
KABUPATEN CIAMIS,101,ORANG,2020
KABUPATEN KUNINGAN,80,ORANG,2020
KABUPATEN CIREBON,134,ORANG,2020
KABUPATEN MAJALENGKA,76,ORANG,2020
KABUPATEN SUMEDANG,137,ORANG,2020
KABUPATEN INDRAMAYU,208,ORANG,2020
KABUPATEN SUBANG,104,ORANG,2020
KABUPATEN PURWAKARTA,72,ORANG,2020
KABUPATEN KARAWANG,136,ORANG,2020
KABUPATEN BEKASI,16,ORANG,2020
KABUPATEN BANDUNG BARAT,122,ORANG,2020
KABUPATEN PANGANDARAN,39,ORANG,2020
KOTA BOGOR,59,ORANG,2020
KOTA SUKABUMI,25,ORANG,2020
KOTA BANDUNG,82,ORANG,2020
KOTA CIREBON,12,ORANG,2020
KOTA BEKASI,47,ORANG,2020
KOTA DEPOK,52,ORANG,2020
