nama_kabupaten_kota,jumlah_kematian,satuan,tahun
KABUPATEN BOGOR,"20,0",JIWA,"2019,0"
KABUPATEN SUKABUMI,"19,0",JIWA,"2019,0"
KABUPATEN CIANJUR,"0,0",JIWA,"2019,0"
KABUPATEN BANDUNG,"21,0",JIWA,"2019,0"
KABUPATEN GARUT,"0,0",JIWA,"2019,0"
KABUPATEN TASIKMALAYA,"16,0",JIWA,"2019,0"
KABUPATEN CIAMIS,"9,0",JIWA,"2019,0"
KABUPATEN KUNINGAN,"14,0",JIWA,"2019,0"
KABUPATEN CIREBON,"15,0",JIWA,"2019,0"
KABUPATEN MAJALENGKA,"7,0",JIWA,"2019,0"
KABUPATEN SUMEDANG,"5,0",JIWA,"2019,0"
KABUPATEN INDRAMAYU,"25,0",JIWA,"2019,0"
KABUPATEN SUBANG,"14,0",JIWA,"2019,0"
KABUPATEN PURWAKARTA,"16,0",JIWA,"2019,0"
KABUPATEN KARAWANG,"36,0",JIWA,"2019,0"
KABUPATEN BEKASI,"3,0",JIWA,"2019,0"
KABUPATEN BANDUNG BARAT,"21,0",JIWA,"2019,0"
KABUPATEN PANGANDARAN,"1,0",JIWA,"2019,0"
KOTA BOGOR,"9,0",JIWA,"2019,0"
KOTA SUKABUMI,"8,0",JIWA,"2019,0"
KOTA BANDUNG,"17,0",JIWA,"2019,0"
KOTA CIREBON,"1,0",JIWA,"2019,0"
KOTA BEKASI,"14,0",JIWA,"2019,0"
KOTA DEPOK,"27,0",JIWA,"2019,0"
KOTA CIMAHI,"4,0",JIWA,"2019,0"
KOTA TASIKMALAYA,"6,0",JIWA,"2019,0"
KOTA BANJAR,"2,0",JIWA,"2019,0"
KABUPATEN BOGOR,"29,0",JIWA,"2020,0"
KABUPATEN SUKABUMI,"0,0",JIWA,"2020,0"
KABUPATEN CIANJUR,"18,0",JIWA,"2020,0"
KABUPATEN BANDUNG,"26,0",JIWA,"2020,0"
KABUPATEN GARUT,"34,0",JIWA,"2020,0"
KABUPATEN TASIKMALAYA,"12,0",JIWA,"2020,0"
KABUPATEN CIAMIS,"0,0",JIWA,"2020,0"
KABUPATEN KUNINGAN,"15,0",JIWA,"2020,0"
KABUPATEN CIREBON,"17,0",JIWA,"2020,0"
KABUPATEN MAJALENGKA,"5,0",JIWA,"2020,0"
KABUPATEN SUMEDANG,"5,0",JIWA,"2020,0"
KABUPATEN INDRAMAYU,"24,0",JIWA,"2020,0"
KABUPATEN SUBANG,"13,0",JIWA,"2020,0"
KABUPATEN PURWAKARTA,"17,0",JIWA,"2020,0"
KABUPATEN KARAWANG,"38,0",JIWA,"2020,0"
KABUPATEN BEKASI,"7,0",JIWA,"2020,0"
KABUPATEN BANDUNG BARAT,"0,0",JIWA,"2020,0"
KABUPATEN PANGANDARAN,"1,0",JIWA,"2020,0"
KOTA BOGOR,"12,0",JIWA,"2020,0"
KOTA SUKABUMI,"8,0",JIWA,"2020,0"
KOTA BANDUNG,"14,0",JIWA,"2020,0"
KOTA CIREBON,"1,0",JIWA,"2020,0"
KOTA BEKASI,"8,0",JIWA,"2020,0"
KOTA DEPOK,"9,0",JIWA,"2020,0"
KOTA CIMAHI,"4,0",JIWA,"2020,0"
KOTA TASIKMALAYA,"12,0",JIWA,"2020,0"
KOTA BANJAR,"0,0",JIWA,"2020,0"
KABUPATEN BOGOR,"54,0",JIWA,"2021,0"
KABUPATEN SUKABUMI,"25,0",JIWA,"2021,0"
KABUPATEN CIANJUR,"23,0",JIWA,"2021,0"
KABUPATEN BANDUNG,"23,0",JIWA,"2021,0"
KABUPATEN GARUT,"54,0",JIWA,"2021,0"
KABUPATEN TASIKMALAYA,"20,0",JIWA,"2021,0"
KABUPATEN CIAMIS,"7,0",JIWA,"2021,0"
KABUPATEN KUNINGAN,"23,0",JIWA,"2021,0"
KABUPATEN CIREBON,"22,0",JIWA,"2021,0"
KABUPATEN MAJALENGKA,"10,0",JIWA,"2021,0"
KABUPATEN SUMEDANG,"18,0",JIWA,"2021,0"
KABUPATEN INDRAMAYU,"22,0",JIWA,"2021,0"
KABUPATEN SUBANG,"22,0",JIWA,"2021,0"
KABUPATEN PURWAKARTA,"25,0",JIWA,"2021,0"
KABUPATEN KARAWANG,"45,0",JIWA,"2021,0"
KABUPATEN BEKASI,"8,0",JIWA,"2021,0"
KABUPATEN BANDUNG BARAT,"21,0",JIWA,"2021,0"
KABUPATEN PANGANDARAN,"2,0",JIWA,"2021,0"
KOTA BOGOR,"11,0",JIWA,"2021,0"
KOTA SUKABUMI,"11,0",JIWA,"2021,0"
KOTA BANDUNG,"26,0",JIWA,"2021,0"
KOTA CIREBON,"8,0",JIWA,"2021,0"
KOTA BEKASI,"8,0",JIWA,"2021,0"
KOTA DEPOK,"35,0",JIWA,"2021,0"
KOTA CIMAHI,"12,0",JIWA,"2021,0"
KOTA TASIKMALAYA,"22,0",JIWA,"2021,0"
KOTA BANJAR,"3,0",JIWA,"2021,0"
KABUPATEN BOGOR,"24,0",JIWA,"2022,0"
KABUPATEN SUKABUMI,"18,0",JIWA,"2022,0"
KABUPATEN CIANJUR,"15,0",JIWA,"2022,0"
KABUPATEN BANDUNG,"17,0",JIWA,"2022,0"
KABUPATEN GARUT,"33,0",JIWA,"2022,0"
KABUPATEN TASIKMALAYA,"27,0",JIWA,"2022,0"
KABUPATEN CIAMIS,"11,0",JIWA,"2022,0"
KABUPATEN KUNINGAN,"6,0",JIWA,"2022,0"
KABUPATEN CIREBON,"12,0",JIWA,"2022,0"
KABUPATEN MAJALENGKA,"11,0",JIWA,"2022,0"
KABUPATEN SUMEDANG,"9,0",JIWA,"2022,0"
KABUPATEN INDRAMAYU,"20,0",JIWA,"2022,0"
