nama_kabupaten_kota,Pendidikan,2017,2018,2019,2020,2021,2022
KABUPATEN BOGOR,SD/MI/Paket A,"112,02","107,91","106,01","104,44","104,64","105,03"
KABUPATEN SUKABUMI,SD/MI/Paket A,"106,4","110,02","107,24","107,41","107,84","107,79"
KABUPATEN CIANJUR,SD/MI/Paket A,"108,7","106,09","103,65","102,1","102,46","102,66"
KABUPATEN BANDUNG,SD/MI/Paket A,"107,47","105,33","105,14","103,48","103,69","102,9"
KABUPATEN GARUT,SD/MI/Paket A,"110,44","106,15","105,77","105,67","106,23","106,54"
KABUPATEN TASIKMALAYA,SD/MI/Paket A,"107,47","103,62","104,44","106,82","105,37","105,15"
KABUPATEN CIAMIS,SD/MI/Paket A,"102,21","104,45","104,44","107,96","106,42","106,63"
KABUPATEN KUNINGAN,SD/MI/Paket A,"106,95","99,65","100,35","98,6","100,72","101,7"
KABUPATEN CIREBON,SD/MI/Paket A,"107,9","104,53","106,61","104,64","103,99","103,58"
KABUPATEN MAJALENGKA,SD/MI/Paket A,"104,19","105,01","106,14","104,85","105,81","104,03"
KABUPATEN SUMEDANG,SD/MI/Paket A,"109,33","104,34","107,8","107,93","107,03","102,67"
KABUPATEN INDRAMAYU,SD/MI/Paket A,"108,85","109,28","106,69","105,09","104,02","104,32"
KABUPATEN SUBANG,SD/MI/Paket A,"102,57","104,69","103,95","102,08","102,79","102,67"
KABUPATEN PURWAKARTA,SD/MI/Paket A,"107,68","110,45","106,7","104,82","104,32","104,33"
KABUPATEN KARAWANG,SD/MI/Paket A,"106,65","107,66","105,91",104,"103,63","103,52"
KABUPATEN BEKASI,SD/MI/Paket A,"107,69","105,12","107,66","107,16","107,14","106,88"
KABUPATEN BANDUNG BARAT,SD/MI/Paket A,"107,34","103,94","104,22","104,53","102,99","104,84"
KABUPATEN PANGANDARAN,SD/MI/Paket A,"106,57","99,55","104,53","102,81","103,54","103,6"
KOTA BOGOR,SD/MI/Paket A,"107,76","103,19","103,4","103,58","101,44","100,98"
